"customer_id","title","firstname","middlename","lastname","suffix","phonenumber","phonetype_name","emailaddress","addresstype_name","addressline1","addressline2","city","stateprovince_name","postalcode","countryregion_name","Customer Group"
1699,Mr.,David,R.,Robinett,,"238-555-0100",Home,david22@adventure-works.com,Home,Pappelallee 6667,NULL,Solingen,Nordrhein-Westfalen,"42651",Germany,No second purchase
1700,Ms.,Rebecca,A.,Robinson,,"648-555-0100",Cell,rebecca3@adventure-works.com,Home,"1861 Chinquapin Ct",NULL,Seaford,Victoria,"3198",Australia,Second Purchase within 6 Months of first
1701,Ms.,Dorothy,B.,Robinson,,"423-555-0100",Cell,dorothy3@adventure-works.com,Home,"4693 Mills Dr.",NULL,Geelong,Victoria,"3220",Australia,Second Purchase within 6 Months of first
1702,Ms.,Carol Ann,F.,Rockne,,"439-555-0100",Cell,carolann0@adventure-works.com,Home,"1312 Skycrest Drive",NULL,Lancaster,England,LA1 1LN,United Kingdom,Second Purchase within 6 Months of first
1703,Mr.,Scott,M.,Rodgers,,"989-555-0100",Cell,scott10@adventure-works.com,Home,"9860 Brookview Drive",NULL,East Brisbane,Queensland,"4169",Australia,Second Purchase after 6 Months of first
1704,Mr.,Jim,,Rodman,,"899-555-0100",Home,jim4@adventure-works.com,Home,"2377 Joyce Dr",NULL,Esher-Molesey,England,EM15,United Kingdom,Second Purchase within 6 Months of first
1705,Mr.,Eric,,Rothenberg,,"326-555-0100",Home,eric9@adventure-works.com,Home,"9277 Country View Lane",NULL,Concord,California,"94519",United States,No second purchase
1706,Mr.,Michael,L.,Rothkugel,,"358-555-0100",Cell,michael22@adventure-works.com,Home,"3552 Mildred Ln.",NULL,St. Leonards,New South Wales,"2065",Australia,No second purchase
1707,Mr.,Pablo,,Rovira Diez,,"786-555-0100",Cell,pablo0@adventure-works.com,Home,"15, rue Descartes",NULL,East Brisbane,Queensland,"4169",Australia,No second purchase
1708,Ms.,Linda,R.,Rousey,,"369-555-0100",Home,linda10@adventure-works.com,Home,"5966 Sepulveda Ct.",NULL,Seaford,Victoria,"3198",Australia,No second purchase
1709,Mr.,Luke,J.,Roy,,"583-555-0100",Home,luke0@adventure-works.com,Home,"8625 Woodcrest Drive",NULL,Beverly Hills,California,"90210",United States,No second purchase
1710,Ms.,Lisa,K.,Roy,,"953-555-0100",Cell,lisa0@adventure-works.com,Home,"6030 Winter Drive",NULL,Rockhampton,Queensland,"4700",Australia,Second Purchase after 6 Months of first
1711,Mr.,Michael,,Ruggiero,,"227-555-0100",Cell,michael23@adventure-works.com,Home,"5501, rue Lauriston",NULL,Saint-Denis,Seine Saint Denis,"93400",France,No second purchase
1712,Ms.,Pearlie,J.,Rusek,,"633-555-0100",Home,pearlie0@adventure-works.com,Home,"5154 Brannan Pl.",NULL,Seaford,Victoria,"3198",Australia,Second Purchase after 6 Months of first
1713,Ms.,Andrea,,Rusko,,"587-555-0100",Cell,andrea0@adventure-works.com,Home,"4, avenue des Ternes",NULL,Pantin,Seine Saint Denis,"93500",France,No second purchase
1714,Mr.,Andy,,Ruth,,"856-555-0100",Cell,andy2@adventure-works.com,Home,Kurfürstenstr 5444,NULL,Hamburg,Hessen,"22001",Germany,No second purchase
1715,Ms.,Justine,J.,Ryan,,"498-555-0100",Home,justine0@adventure-works.com,Home,"2342 Tahoe Place",NULL,Warrnambool,Victoria,"3280",Australia,No second purchase
1716,Ms.,Deanna,N.,Sabella,,"529-555-0100",Home,deanna2@adventure-works.com,Home,Carlsplatz 4641,NULL,Salzgitter,Hessen,"38231",Germany,No second purchase
1717,Mr.,Lane,,Sacksteder,,"114-555-0100",Home,lane1@adventure-works.com,Home,"70, rue Georges-Clémenceau",NULL,Paris,Seine (Paris),"75012",France,No second purchase
1718,Mr.,Peter,,Saddow,,"132-555-0100",Home,peter5@adventure-works.com,Home,"15, avenue de la Gare",NULL,Boulogne-sur-Mer,Pas de Calais,"62200",France,No second purchase
1719,Ms.,Sharon,,Salavaria,,"109-555-0100",Cell,sharon4@adventure-works.com,Home,"5652 East View Place",NULL,East Brisbane,Queensland,"4169",Australia,Second Purchase within 6 Months of first
1720,Mr.,Irving,W,Schmidt,,"111-555-0100",Cell,irving0@adventure-works.com,Home,"1408 Bonifacio St.",NULL,Coffs Harbour,New South Wales,"2450",Australia,Second Purchase within 6 Months of first
1721,Mr.,Raymond,,Sam,,"313-555-0100",Cell,raymond1@adventure-works.com,Home,Kalkweg 43,NULL,Stuttgart,Saarland,"70452",Germany,No second purchase
